商品マスタ用テンプレート,,,,,,,,,,,,,,,,,,,,,
商品マスタID,Mycaアプリ上でのID,商品名,買取名,商品名カナ,カード番号,レアリティ,封入パック,キーワード,JANコード,表示順,ジャンル,カテゴリ,販売店舗価格,買取価格,買取専用,自動印刷,店舗タブレット表示,在庫数無限商品,端数処理を無効にする,商品一覧に表示しない,アップロードエラー
ハンドル名,（この部分は変更しないでください）,,,,,,,,,,,,,,,,,,,,
id,myca_item_id,display_name,buy_display_name,display_name_ruby,cardnumber,rarity,pack_name,keyword,readonly_product_code,order_number,genre_display_name,category_display_name,sell_price,buy_price,is_buy_only,allow_auto_print_label,tablet_allowed,infinite_stock,disallow_round,hidden,upload_error
この下の行からデータ開始,（この下からデータを記入してください）,,,,,,,,,,,,,,,,,,,,
1147586,600564200,【PSA10】竜騎士ブラック・マジシャン・ガール,,,QCAC-JP020,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP020りゅうきしブラックマジシャンガール りゅうきしぶらっくまじしゃんがーる 竜騎士ブラックマジシャンガール a43892408,,0,遊戯王,PSA,0,15000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP020d.jpg,,,,,
1147591,600564175,【PSA10】ブラックマジシャンガール(2立ち/杖担ぎ)(25th),,,QCAC-JP019,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP019ブラックマジシャンガール ぶらっくまじしゃんがーる ブラックマジシャンガール a38033121,,0,遊戯王,PSA,0,35000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP019d.jpg,,,,,
1147595,600564155,【PSA10】ブラックマジシャン(右向き/杖持ち),,,QCAC-JP018,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP018ブラックマジシャン ぶらっくまじしゃん ブラックマジシャン a46986414,,0,遊戯王,PSA,0,22000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP018n.jpg,,,,,
1147596,600564150,【PSA10】ブラックマジシャン(25th/直立腕前),,,QCAC-JP018,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP018ブラックマジシャン ぶらっくまじしゃん ブラックマジシャン a46986414,,0,遊戯王,PSA,0,13000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP018m.jpg,,,,,
1147603,600564130,【PSA10】ブラックマジシャン(EX絵柄),,,QCAC-JP018,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP018ブラックマジシャン ぶらっくまじしゃん ブラックマジシャン a46986414,,0,遊戯王,PSA,0,10000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP018i.jpg,,,,,
1147632,600564085,【PSA10】ライトニング・ストーム,,,QCAC-JP017,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP017ライトニングストーム らいとにんぐすとーむ ライトニングストーム a14532163,,0,遊戯王,PSA,0,7000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP017d.jpg,,,,,
1147807,600563980,【PSA10】黒魔女ディアベルスター,,,QCAC-JP012,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP012クロマジョディアベルスター くろまじょでぃあべるすたー 黒魔女ディアベルスター a72270339,,0,遊戯王,PSA,0,14000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP012d.jpg,,,,,
1147823,600563960,【PSA10】迷宮城の白銀姫（イラスト違い）,,,QCAC-JP011,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP011レディオブザラビュリンス れでぃおぶざらびゅりんす 迷宮城の白銀姫 a81497285,,0,遊戯王,PSA,0,32000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP011e.jpg,,,,,
1147856,600563915,【PSA10】閃刀姫－ハヤテ（イラスト違い）,,,QCAC-JP009,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP009せんとうきハヤテ せんとうきはやて 閃刀姫ハヤテ a08491308,,0,遊戯王,PSA,0,13000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP009e.jpg,,,,,
1147873,600563885,【PSA10】閃刀姫－レイ(25th/片手剣),,,QCAC-JP008,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP008せんとうきレイ せんとうきれい 閃刀姫レイ a26077387,,0,遊戯王,PSA,0,20000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP008d.jpg,,,,,
1147959,600563730,【PSA10】ブルーアイズ・カオス・MAX・ドラゴン,,,QCAC-JP001,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP001ブルーアイズカオスマックスドラゴン ぶるーあいずかおすまっくすどらごん ブルーアイズカオスMAXドラゴン a55410871,,0,遊戯王,PSA,0,7000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP001d.jpg,,,,,
1148313,600563075,【PSA10】Live☆Twin リィラ・スウィート,,,ALIN-JP028,クォーターセンチュリーシークレット,ALLIANCE INSIGHT,ALIN-JP028ライブツイン リィラスウィート らいぶついん りぃらすうぃーと LiveTwinリィラスウィート a82699999,,0,遊戯王,PSA,0,10000,,https://static.mycalinks.io/app/item/image/YUGI/card/ALIN-JP/ALIN-JP028c.jpg,,,,,
1148455,600562845,【PSA10】魔術師の弟子－ブラック・マジシャン・ガール,,,ALIN-JP004,クォーターセンチュリーシークレット,ALLIANCE INSIGHT,ALIN-JP004マジュツシノデシブラックマジシャンガール まじゅつしのでしぶらっくまじしゃんがーる 魔術師の弟子ブラックマジシャンガール a02501624,,0,遊戯王,PSA,0,58000,,https://static.mycalinks.io/app/item/image/YUGI/card/ALIN-JP/ALIN-JP004c.jpg,,,,,
1149753,600562400,【PSA10】星杯の神子イヴ,,,QCTB-JP043,クォーターセンチュリーシークレット,QUARTER CENTURY TRINITY BOX,QCTB-JP043せいはいのみこイヴ せいはいのみこいヴ 星杯の神子イヴ a94677445,,0,遊戯王,PSA,0,9000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCTB-JP/QCTB-JP043d.jpg,,,,,
1153618,600559315,【PSA10】混沌の黒魔術師,,,QCLP-JP018,クォーターセンチュリーシークレット,QUARTER CENTURY LIMITED PACK,QCLP-JP018コントンノクロマジュツシ こんとんのくろまじゅつし 混沌の黒魔術師 a40737112,,0,遊戯王,PSA,0,8000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCLP-JP/QCLP-JP018d.jpg,,,,,
1153695,600559175,【PSA10】トゥーン・ブラック・マジシャン・ガール,,,QCLP-JP010,クォーターセンチュリーシークレット,QUARTER CENTURY LIMITED PACK,QCLP-JP010トゥーンブラックマジシャンガール とぅーんぶらっくまじしゃんがーる トゥーンブラックマジシャンガール a90960358,,0,遊戯王,PSA,0,8000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCLP-JP/QCLP-JP010d.jpg,,,,,
1153701,600559160,【PSA10】トゥーンブラックマジシャンガール(ウルトラ/復刻),,,JP010,ウルトラレア,QUARTER CENTURY LIMITED PACK,QCLP-JP010(旧)トゥーンブラックマジシャンガール とぅーんぶらっくまじしゃんがーる トゥーンブラックマジシャンガール a90960358,,0,遊戯王,PSA,0,32000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCLP-JP/QCLP-JP010.jpg,,,,,
1153785,600559085,【PSA10】レッドアイズ・ブラックメタルドラゴン,,,QCLP-JP005,クォーターセンチュリーシークレット,QUARTER CENTURY LIMITED PACK,QCLP-JP005レッドアイズブラックメタルドラゴン れっどあいずぶらっくめたるどらごん レッドアイズブラックメタルドラゴン a64335804,,0,遊戯王,PSA,0,17000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCLP-JP/QCLP-JP005d.jpg,,,,,
1153816,600559035,【PSA10】アクア・マドール,,,QCLP-JP002,クォーターセンチュリーシークレット,QUARTER CENTURY LIMITED PACK,QCLP-JP002アクアマドール あくあまどーる アクアマドール a85639257,,0,遊戯王,PSA,0,8000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCLP-JP/QCLP-JP002d.jpg,,,,,
1153828,600559015,【PSA10】女剣士カナン,,,QCLP-JP001,クォーターセンチュリーシークレット,QUARTER CENTURY LIMITED PACK,QCLP-JP001オンナケンシカナン おんなけんしかなん 女剣士カナン a12829151,,0,遊戯王,PSA,0,240000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCLP-JP/QCLP-JP001d.jpg,,,,,
1157254,600555525,【PSA10】白の聖女エクレシア,,,CF01-JPS02,クォーターセンチュリーシークレット,COMPLETE FILE ?白の物語?,CF01-JPS02しろのせいじょエクレシア しろのせいじょえくれしあ 白の聖女エクレシア a55273560,,0,遊戯王,PSA,0,15000,,https://static.mycalinks.io/app/item/image/YUGI/card/CF01-JP/CF01-JPS02.jpg,,,,,
1158758,600553370,【PSA10】水霊媒師エリア,,,ROTA-JP023,クォーターセンチュリーシークレット,RAGE OF THE ABYSS,ROTA-JP023すいれいばいしエリア すいれいばいしえりあ 水霊媒師エリア a15746348,,0,遊戯王,PSA,0,7000,,https://static.mycalinks.io/app/item/image/YUGI/card/ROTA-JP/ROTA-JP023d.jpg,,,,,
1160779,600551140,【PSA10】オベリスクの巨神兵,,,VP24-JP001,クォーターセンチュリーシークレット,QUARTER CENTURY LEGENDARY SELECTION,VP24-JP001オベリスクノキョシンヘイ おべりすくのきょしんへい オベリスクの巨神兵 -,,0,遊戯王,PSA,0,8000,,https://static.mycalinks.io/app/item/image/YUGI/card/VP24-JP/VP24-JP001.jpg,,,,,
